distance,stellar_magnitude,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,planet_type
1841,11.477,0.602,1,1.688,1,0.06043,0.011772759,0.019,0
912,12.333,3.147,1,1.139,1,0.03493,0.006570842,0.028,0
1317,11.572,1.03,1,1.095,1,0.05798,0.011498973,0.168,0
2097,14.033,0.806,1,1.126,1,0.06112,0.014784395,0.13,0
2097,14.033,12.7,1,1.1,1,2.504,3.9,0.083,0
804,12.598,0.237,1,0.912,1,0.0542,0.013141684,0.02,0
1587,12.662,0.662,1,1.153,1,0.04708,0.009856262,0.19,0
2217,13.352,3.4,1,1.195,1,0.07908,0.021355236,0.09,0
1706,14.171,0.179,1,1.055,1,0.04163,0.009034907,0.3,0
2033,13.992,0.96,1,1.207,1,0.04026,0.008487337,0.14,0
3523,13.045,0.96,1,1.679,1,0.06562,0.013415469,0.15,0
1609,12.679,0.821,1,1.501,1,0.04497,0.008487337,0.06,0
4821,14.283,5.33,1,1.411,1,0.04714,0.008487337,0.06,0
3132,13.698,1.45,1,1.685,1,0.03032,0.004380561,0.06,0
1970,12.312,1.29,1,1.232,1,0.05071,0.009856262,0.04,0
1352,14.074,0.577,1,0.945,1,0.03211,0.006023272,0.52,0
552,15.044,0.319,1,0.998,1,0.03623,0.009034907,0,0
4759,12.227,12.9,1,1.384,1,0.03632,0.005201916,0.18,0
457,16.437,0.37,1,1.024,1,0.03745,0.010403832,0,0
416,12.324,39.85588,0,0.722,1,0.066517,0.019986311,0.013,0
977,17.26,1.46,1,1.032,1,0.02384,0.004654347,0.044,0
636,15.689,0.491,1,0.884,1,0.032742,0.007665982,0.064,0
1258,16.68,2.629,1,1.079,1,0.02658,0.005201916,0.062,0
1423,16.195,1.374,1,1.165,1,0.03607,0.008487337,0.045,0
785,13.347,38.1396,0,0.563,1,0.04012,0.008761123,0.17,0
2592,14.512,0.138,1,0.873,1,0.04667,0.009856262,0.376,0
2083,13.256,0.837,1,1.236,1,0.0312,0.005201916,0.075,0
358,6.69,752,1,6.9,1,53,249.2,0,0
447,6.4421,1.61,1,1.21,1,0.68,0.4314853,0.09,0
162,8.42,1.03,1,1.23,1,1.03,1.0505134,0.36,0
127,7.33,0.203,1,0.838,1,3.381,6,0.1,0
98,8.21,0.25,1,0.949,1,0.3,0.19301848,0.11,0
129,7.47,0.17,1,0.756,1,0.15,0.056947295,0.12,0
96,8.07,0.41,1,1.27,1,0.05,0.011225188,0,0
1132,8.69,4.94,1,1.15,1,0.51,0.34934977,0.05,0
708,7.88,8.16,1,1.12,1,1.81,2.1,0.21,0
205,9.26,0.35837,1,1.17,1,4.074,8.5,0.11,0
398,7.86,0.96,1,1.23,1,0.0807,0.01779603,0.04,0
149,9.5,0.62,1,1.26,1,0.0498,0.012594113,0.09,0
