distance,stellar_magnitude,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,planet_type,,,
1480,13.783,0.173,Jupiter,0.903,Jupiter,0.05367,0.012867898,0.559,0,,,
981,14.602,0.369,Jupiter,1.117,Jupiter,0.04269,0.010677618,0.088,0,,,
860,14.226,0.243,Jupiter,0.8,Jupiter,0.03769,0.008487337,0.162,0,,,
1058,14.988,0.353,Jupiter,0.765,Jupiter,0.04515,0.011225188,0.071,0,,,
1358,13.516,1.323,Jupiter,1.02,Jupiter,0.0362,0.006844627,0.01,0,,,
2468,14.045,0.39,Jupiter,1.13,Jupiter,0.05046,0.010403832,0.516,0,,,
1271,12.525,0.768,Jupiter,1.41,Jupiter,0.04639,0.009034907,0.33,0,,,
1811,13.844,2.24,Jupiter,1.382,Jupiter,0.02498,0.003832991,0.246,0,,,
1911,13.944,0.595,Jupiter,1.34,Jupiter,0.04753,0.010677618,0.33,0,,,
2442,13.937,0.753,Jupiter,1.015,Jupiter,0.037,0.006844627,0,0,,,
1989,13.525,0.921,Jupiter,1.251,Jupiter,0.05412,0.011498973,0.092,0,,,
1841,11.477,0.602,Jupiter,1.688,Jupiter,0.06043,0.011772759,0.019,0,,,
912,12.333,3.147,Jupiter,1.139,Jupiter,0.03493,0.006570842,0.028,0,,,
1317,11.572,1.03,Jupiter,1.095,Jupiter,0.05798,0.011498973,0.168,0,,,
2097,14.033,0.806,Jupiter,1.126,Jupiter,0.06112,0.014784395,0.13,0,,,
2097,14.033,12.7,Jupiter,1.1,Jupiter,2.504,3.9,0.083,0,,,
804,12.598,0.237,Jupiter,0.912,Jupiter,0.0542,0.013141684,0.02,0,,,
1587,12.662,0.662,Jupiter,1.153,Jupiter,0.04708,0.009856262,0.19,0,,,
2217,13.352,3.4,Jupiter,1.195,Jupiter,0.07908,0.021355236,0.09,0,,,
1706,14.171,0.179,Jupiter,1.055,Jupiter,0.04163,0.009034907,0.3,0,,,
2033,13.992,0.96,Jupiter,1.207,Jupiter,0.04026,0.008487337,0.14,0,,,
3523,13.045,0.96,Jupiter,1.679,Jupiter,0.06562,0.013415469,0.15,0,,,
1609,12.679,0.821,Jupiter,1.501,Jupiter,0.04497,0.008487337,0.06,0,,,
4821,14.283,5.33,Jupiter,1.411,Jupiter,0.04714,0.008487337,0.06,0,,,
3132,13.698,1.45,Jupiter,1.685,Jupiter,0.03032,0.004380561,0.06,0,,,
1970,12.312,1.29,Jupiter,1.232,Jupiter,0.05071,0.009856262,0.04,0,,,
1352,14.074,0.577,Jupiter,0.945,Jupiter,0.03211,0.006023272,0.52,0,,,
552,15.044,0.319,Jupiter,0.998,Jupiter,0.03623,0.009034907,0,0,,,
4759,12.227,12.9,Jupiter,1.384,Jupiter,0.03632,0.005201916,0.18,0,,,
457,16.437,0.37,Jupiter,1.024,Jupiter,0.03745,0.010403832,0,0,,,
416,12.324,39.85588,Earth,0.722,Jupiter,0.066517,0.019986311,0.013,0,,,
977,17.26,1.46,Jupiter,1.032,Jupiter,0.02384,0.004654347,0.044,0,,,
636,15.689,0.491,Jupiter,0.884,Jupiter,0.032742,0.007665982,0.064,0,,,
